Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,17,Insurance,Insurance,HRA Reimbursement and Admin Fees,,"This purpose of this line item is to fund the county's portion of employee health, dental, and life insurance for those county employees and two MEDP employees [this does not include health and highway departments]. The county currently pays 90% of the premium for active and insurance-eligible employees' health and dental plans and 100% of a 10,000 life policy for all active employees. This line would also fund the expense of paying the third-party administrator for the county's HRA account and disbursements of HRA payments to qualifying employees. Eligible retiree, severance plan retiree, and COBRA employee premiums are also paid through this line item at the scheduled rates. Premiums for MEDP employees, COBRA employees, and retirees are reimbursed to the county in full while severance plan employees are reimbursed to the county at their scheduled rates.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68985.86,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41281.09
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,18,Matching Funds,Matching Funds,County Match to Highway,,These expenses helped cover public works projects that are now paid for by the Highway Department's Special Funds.,County Highway Engineer,0.00,0.00,1200.00,0.00,0.00,0.00,1200.00,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,19,Real Estate Stamps,Real Estate Stamps,Office Supplies,,"Anyone who buys property within county limits must purchase real estate transfer tax stamps. This purpose of this line item is to fund the County Clerk's purchase of those physical real estate transfer tax stamps throughout the course of the fiscal year. For every stamp that is purchased through this line item, the county is reimbursed.",County Clerk,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160000.00,285000.00,170000.00,86625.00,145828.00,112529.00,115000.00,115000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98670.00,284600.00,104050.00,86625.00,104684.00,112529.00,115000.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,20,Archives,Archives,Miscellaneous,,"The County Archives, located at the former Carlinville Public Library Building, houses decades worth of county records. Volunteers who work at indexing and organizing those records raised donations to help cover small fixes to the building.",County Board Office,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4845.00,0.00,1445.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3850.00,0.00,200.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Salaries & Benefits,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,1334922.00,1458060.00,1572325.00,1570625.00,1519702.00,1613947.00,1663004.00,1868575.00,1993951.00,2123423.00,2072181.00,2152592.00,2124450.00,2097250.00,2040661.00,1964184.00,2284777.00,2451488.00,2790163.81,1760805.49,1962229.40,1334922.00,1458060.00,1572325.00,1559929.00,1519730.00,1613947.00,1663110.00,1868549.00,1993297.00,2108554.00,2072174.00,2149715.00,2117869.00,2096986.00,2045169.00,1964184.00,2282277.00,2451422.00,2790163.81,1760805.49
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Salary Reimbursed by Grant,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0.00,0.00,0.00,0.00,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5414.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Salaries & Benefits Reimbursed by Drug Task Force,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,21021.00,22000.00,22000.00,34000.00,34000.00,34000.00,34000.00,36750.00,36290.00,44640.00,54135.00,54135.00,56141.00,55018.00,48416.00,45995.00,50174.00,51198.00,52400.00,53400.00,54000.00,21021.00,17850.00,26748.00,28316.00,30303.00,31310.00,33679.00,36783.00,36424.00,44602.00,50592.00,49261.00,46399.00,48362.00,48416.00,40214.00,48890.00,50988.00,52400.00,46237.92
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Retroactive Salaries,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,467774.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,467774.00,0.00,0.00
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Office Supplies,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,28428.00,27070.00,32701.00,44139.00,34602.00,33000.00,27764.00,38682.00,34047.00,14824.00,10936.00,26800.00,47079.00,47456.00,45966.00,34529.00,38343.00,24912.00,18823.35,10635.43,14738.60,28428.00,27070.00,27672.00,44139.00,34602.00,30388.00,28738.00,38627.00,34047.00,14158.00,10936.00,26583.00,47079.00,47456.00,45966.00,34529.00,38343.00,24912.00,18823.35,10635.43
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,21,Sheriff,Sheriff,Leads,http://macoupincountyil.gov/sheriff_dept.htm,"The line item, under the control of the Sheriff, funds the operation of the County Sheriff's office outside of the Jail and all of its employees [deputies, investigators, telecommunicators, clerks, and all non-jail staff]. In addition to employee salaries, major expenses such as overtime and vehicle maintenance expenses are paid through this line. Beginning in Fiscal Year 2014, the costs of employee insurance, costs associated with the Jail, Jail Medical Expenses and Court Security General Fund salaries were seperated from the Sheriff's budget and made their own seperate budget.",Sheriff,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.00,2145.00,0.00,2590.00,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2145.00,0.00,2590.00,0.00,0.00,0.00,0.00
