Fund,Fund Description,Fund ID,Department ID,Department,Short Title,Expense Line,Link to Website,Department Description,Control Officer,Appropriations 1995,Appropriations 1996,Appropriations 1997,Appropriations 1998,Appropriations 1999,Appropriations 2000,Appropriations 2001,Appropriations 2002,Appropriations 2003,Appropriations 2004,Appropriations 2005,Appropriations 2006,Appropriations 2007,Appropriations 2008,Appropriations 2009,Appropriations 2010,Appropriations 2011,Appropriations 2012,Appropriations 2013,Appropriations 2014,Appropriations 2015,Appropriations 2016,Appropriations 2017,Appropriations 2018,Appropriations 2019,Appropriations 2020,Appropriations 2021,Appropriations 2022,Appropriations 2023,Appropriations 2024,Appropriations 2025,Expenditures 1995,Expenditures 1996,Expenditures 1997,Expenditures 1998,Expenditures 1999,Expenditures 2000,Expenditures 2001,Expenditures 2002,Expenditures 2003,Expenditures 2004,Expenditures 2005,Expenditures 2006,Expenditures 2007,Expenditures 2008,Expenditures 2009,Expenditures 2010,Expenditures 2011,Expenditures 2012,Expenditures 2013,Expenditures 2014,Expenditures 2015,Expenditures 2016,Expenditures 2017,Expenditures 2018,Expenditures 2019,Expenditures 2020,Expenditures 2021,Expenditures 2022,Expenditures 2023,Expenditures 2024,Expenditures 2025
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Equipment ,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,3000,27000,42000,32580,34498,47000,24000,29001,1001,15500,14556,3121,5419,6000,600,650,0,3091,423,203,0,0,0,0,375,5256,0,425,0,580,0,1707,3510,37154,17574,4888,4654,7536,5741,261,6948,8755,1530,4617,654,600,650,0,3091,423,203,0,0,0,0,5256,5256,0,425,0,580,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Equipment Repair,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,14000,13000,13000,17000,23287,11000,19000,17630,17630,19000,22443,33879,22500,23800,52123,55907,51270,54065,56098,58132,59519,61757,63889,898,338,40903,40715,41555,103178,40135,36151,10213,9005,7185,13370,23287,961,18249,17630,17521,3385,22444,33879,21927,16446,52071,55870,51270,54065,56098,58132,59519,61757,63889,898,40903,40903,40715,41555,103178,36946,36151
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Education & Training,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1200,0,0,0,3763,2572,0,0,290,1448,1448,0,0,1000,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1055,1200,0,0,0,3763,2572,0,0,290,1448,0,0,0,0,423,566
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Miscellaneous,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,4953,4598,4000,4000,4000,4000,4000,4000,4000,4000,4000,4000,2000,2000,2820,145,2677,4224,0,74,933,252,476,0,131,0,0,0,0,0,0,374,150,1647,191,2605,0,300,0,1292,1809,750,818,1141,1330,2820,142,2677,4224,0,49,933,252,476,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,13,Tax Assessment & Collections,Tax Assessment & Collections,Publishing,,"The line item funds expenses associated with the calculation, collections, preparation, mailing of county property tax bills and is primarily utilized by the County Treasurer, County Clerk, and Supervisor of Assessments.",County Treasurer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2700,2482,2699,1633,2509,2218,5473,3000,4705,3900,6972,8487,6822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2694,2482,2699,1630,2509,2218,3000,1947,4213,3900,2933,7005,5916
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Salaries & Benefits,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27000,52000,65420,80427,82169,56607,35268,35002,35173,24390,38699,91072,36499,57303,41750,15000,20363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27759,51391,65420,78865,96625,41037,35268,35002,35173,23034,91072,91072,31962,57303,32152,14913,20358
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Office Supplies & Postage,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,3000,1627,1079,118,1111,250,3179,1827,4251,2350,930,3752,13968,2300,217,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2821,2297,1627,502,118,132,1111,3151,0,1557,930,904,2262,13968,885,217,1139
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,"Mileage, Dues, & Conventions",http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,1050,65,700,298,803,300,175,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1050,151,65,252,295,803,300,175,0,0,0,0,0,0,0,0,0
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Printing,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,900,1467,1500,917,1551,398,1900,1000,3488,352,513,3039,9744,3000,2004,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,849,528,1467,650,917,1552,398,1881,302,2228,513,513,1432,9744,897,1985,264
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Telephone,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1400,1249,1400,1125,1200,1215,1225,1200,1200,48081,47534,0,0,0,0,30000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1309,1335,1249,1190,1126,1178,1215,1215,826,712,47534,43118,0,0,0,0,29554
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Equipment Repairs & Maintenance,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1900,2476,1498,1175,1216,1224,1620,1500,2078,2000,3204,3744,27939,32000,53349,61753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,1897,2476,1197,1176,1216,1224,1592,0,2078,3204,3204,3744,23277,27760,51967,61753
General Fund,"The County's General Fund covers the main functions of County Government. Nearly every Elected Official or Department Heads' budget is included in this fund and nearly all major expenses, salaries and benefits are paid from it. A breakdown of the revenue for the General Fund can be found in the Fiscal Year Budget summary.",1,14,County Administration,County Administration,Miscellaneous,http://macoupincountyil.gov/board.htm,"The line item funds the operation of the county board office, payment of board of review salaries, the county's portion of annual audit costs, the county's annual costs of participating in the State's Attorney's Appellate Prosecutor program, county website development costs, West Central Development Council annual dues, and other small miscellaneous costs.",County Board Office,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32525,5400,33370,594,5010,2100,318,1729,1828,2722,2700,4064,64543,2178,14911,14497,15925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24125,1069,33370,594,5010,1909,318,1729,1827,2622,4064,4064,64443,2178,7311,14497,15925
